ANO,TRIMESTRE,PROVEEDOR,COD_DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,CAB_MUNICIPAL,COBERT_2G,COBERT_3G,COBERT_4G,COBERT_LTE
2018,4,COLOMBIA MOVIL  S.A ESP,41,HUILA,ISNOS,S,N,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,MISTRATÓ,S,S,S,N,S
2018,4,COMUNICACION CELULAR S A COMCEL S A,86,PUTUMAYO,VALLE DEL GUAMUEZ,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,GUAPI,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,CUCUNUBÁ,S,S,S,N,S
2018,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,MEDIO BAUDÓ,N,N,N,N,N
2018,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,SAN PABLO DE BORBUR,S,S,S,N,N
2018,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,MIRAFLORES,S,S,S,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,18,CAQUETA,SOLANO,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,GUARANDA,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,LA UNIÓN,S,S,S,N,S
2018,2,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,OVEJAS,N,N,N,N,N
2018,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,PRADERA,S,S,S,N,S
2018,3,COLOMBIA MOVIL  S.A ESP,18,CAQUETA,FLORENCIA,S,S,S,N,S
2018,3,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,SANTA ROSA,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,PINILLOS,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,EL RETÉN,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,ALTOS DEL ROSARIO,N,S,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,COGUA,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,GUAYABETAL,S,S,S,N,S
2018,2,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,TIMBIQUÍ,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,CHIMICHAGUA,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,MARGARITA,N,S,S,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,MACEO,N,S,S,N,N
2018,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,68,SANTANDER,PUERTO WILCHES,N,S,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,SAN ONOFRE,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,CANDELARIA,N,S,S,N,N
2018,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,85,CASANARE,AGUAZUL,S,N,N,N,S
2018,3,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,CHAPARRAL,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,YACOPÍ,N,N,N,N,N
2018,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,MONTERÍA,S,S,S,N,S
2018,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,66,RISARALDA,LA VIRGINIA,S,N,N,N,S
2018,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,EL DOVIO,N,N,N,N,N
2018,4,AVANTEL S.A.S,25,CUNDINAMARCA,GUASCA,S,S,N,N,N
2018,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,QUIBDÓ,S,S,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,PUENTE NACIONAL,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,INZÁ,N,S,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,SIMACOTA,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,YOTOCO,N,S,N,N,N
2018,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52,NARIÑO,GUALMATÁN,S,S,S,N,N
